region,cases,deaths,recovered
USA,18917152,334218,11101866
India,10123778,146778,9693173
Brazil,7366677,189264,6405356
Russia,2963688,53096,2370857
France,2505875,61978,187272
UK,2149551,69051,N/A
Turkey,2082610,18861,1901307
Italy,1991278,70395,1322067
Spain,1847874,49698,N/A
Germany,1587908,29127,1160100
Argentina,1563865,42314,1384277
Colombia,1544826,41174,1404168
Mexico,1350079,120311,1005248
Poland,1239998,26752,975876
Iran,1177004,54156,914194
Peru,1002263,37273,938341
Ukraine,1001132,17395,631435
South Africa,954258,25657,811372
Netherlands,721071,10737,N/A
Indonesia,692838,20589,563980
Czechia,660461,10776,552444
Belgium,632321,18939,43513
Romania,604251,14766,516423
Chile,590914,16228,561794
Iraq,587676,12737,525792
Canada,528354,14597,438452
Bangladesh,504868,7359,444345
Philippines,465724,9055,430490
Pakistan,465070,9668,417134
Switzerland,423299,7029,311500
Morocco,423214,7086,385895
Sweden,396048,8279,N/A
Israel,385022,3150,351875
Portugal,383258,6343,308446
Saudi Arabia,361536,6148,352418
Austria,347204,5745,315952
Serbia,312253,2833,31536
Hungary,311554,8729,120529
Jordan,281983,3652,252158
Nepal,255979,1803,246661
Panama,220261,3664,178140
Georgia,216843,2276,194705
Azerbaijan,208211,2340,151660
Ecuador,207084,13962,181618
Japan,203113,2994,172115
Croatia,200086,3394,180735
UAE,197124,645,172984
Bulgaria,195886,6978,106465
Belarus,181113,1358,159437
Lebanon,163225,1333,116143
Dominican Republic,162496,2401,125965
Costa Rica,161942,2065,128216
Slovakia,161562,1732,114267
Armenia,156142,2714,136766
Bolivia,152064,9065,129052
Kazakhstan,149462,2196,135063
Kuwait,148773,924,144594
Denmark,143472,1096,99025
Qatar,142448,243,140264
Moldova,138213,2825,122614
Guatemala,134256,4739,122438
Greece,133365,4402,9989
Oman,128290,1491,120441
Egypt,127972,7209,107961
Palestine,127376,1226,102942
Tunisia,125000,4275,97026
Lithuania,123889,1186,60559
Ethiopia,120989,1870,105824
Myanmar,118869,2507,99325
Honduras,118036,3054,54806
Slovenia,112004,2470,91952
Venezuela,111024,1002,105249
Bosnia and Herzegovina,107570,3838,73149
Paraguay,102371,2138,74573
Malaysia,98737,444,80014
Algeria,96549,2696,64401
Libya,96346,1393,66756
Kenya,95195,1648,76508
Bahrain,90817,350,88826
Ireland,82155,2184,23364
Nigeria,80922,1236,69274
Kyrgyzstan,79845,1340,73870
North Macedonia,79815,2354,56743
Uzbekistan,76456,612,73746
Singapore,58495,29,58322
Albania,54317,1117,29799
Ghana,54043,333,52777
S. Korea,53533,756,37425
Afghanistan,51595,2135,40571
Norway,45455,421,37658
Luxembourg,45209,458,37574
Montenegro,45062,639,35482
El Salvador,43772,1283,39362
Sri Lanka,38639,184,29882
Finland,34084,524,26000
Latvia,33484,479,22523
Uganda,32399,245,10731
Australia,28262,908,25722
Cameroon,25849,448,23851
Estonia,24009,195,15393
Sudan,23316,1468,13524
Ivory Coast,21984,133,21573
Namibia,19984,183,16892
Zambia,19122,380,17969
Cyprus,18883,104,2057
Senegal,18043,378,16657
Mozambique,17956,153,15982
Madagascar,17633,260,17147
Angola,16931,393,9729
French Polynesia,16466,107,4842
DRC,16039,566,13736
Uruguay,14710,128,9574
Guinea,13630,80,13039
Botswana,13622,38,11147
Maldives,13537,48,12983
Tajikistan,13071,89,12536
Mauritania,12944,297,9264
Zimbabwe,12656,330,10259
French Guiana,12547,71,9995
Jamaica,12423,290,9416
Malta,11992,201,10293
Cabo Verde,11668,112,11311
Syria,10571,641,4927
Cuba,10500,139,9307
Belize,10370,226,8933
Haiti,9805,234,8413
Gabon,9469,64,9310
Réunion,8846,42,8219
Guadeloupe,8588,154,2242
Hong Kong,8425,135,7203
Eswatini,7868,153,6879
Bahamas,7788,169,6166
Andorra,7669,82,7106
Rwanda,7598,66,6163
Trinidad and Tobago,7071,125,6495
Congo,6571,100,4988
Mali,6347,229,3927
Malawi,6261,187,5675
Guyana,6258,162,5448
Martinique,6049,42,98
Nicaragua,5991,164,4225
Thailand,5829,60,4116
Djibouti,5789,61,5681
Mayotte,5767,54,2964
Suriname,5734,118,5345
Iceland,5683,28,5506
Burkina Faso,5649,77,4018
Equatorial Guinea,5236,85,5078
Aruba,5228,47,5008
CAR,4948,63,1924
Somalia,4690,127,3605
Curaçao,4051,12,2385
Gambia,3791,123,3659
Togo,3494,68,3131
South Sudan,3455,62,3118
Benin,3205,44,3061
Niger,2876,89,1578
Channel Islands,2857,56,1817
Lesotho,2725,51,1466
Sierra Leone,2524,76,1866
Guinea-Bissau,2447,45,2386
San Marino,2205,56,1846
New Zealand,2128,25,2054
Yemen,2087,606,1384
Chad,1938,102,1638
Liechtenstein,1858,30,1591
Liberia,1779,83,1406
Vietnam,1421,35,1281
Gibraltar,1398,6,1075
Sint Maarten,1370,26,1235
Mongolia,1069,NA,584
Sao Tome and Principe,1012,17,960
Saint Martin,961,12,855
Eritrea,877,1,599
Turks and Caicos,807,6,761
Taiwan,776,7,632
Burundi,773,2,687
Monaco,767,3,646
Papua New Guinea,761,9,601
Diamond Princess,712,13,699
Comoros,693,7,615
Faeroe Islands,556,NA,526
Bermuda,553,9,321
Mauritius,527,10,496
Bhutan,519,NA,438
Tanzania,509,21,183
Isle of Man,374,25,346
Cambodia,363,NA,349
Barbados,329,7,290
Cayman Islands,317,2,290
Saint Lucia,305,5,264
Seychelles,205,NA,184
St. Barth,184,1,172
Caribbean Netherlands,182,3,174
Antigua and Barbuda,154,5,146
Brunei,152,3,149
St. Vincent Grenadines,108,NA,85
Grenada,105,NA,49
Dominica,88,NA,83
British Virgin Islands,86,1,74
Fiji,46,2,44
Macao,46,NA,46
Laos,41,NA,37
Timor-Leste,41,NA,31
New Caledonia,38,NA,37
Saint Kitts and Nevis,30,NA,25
Falkland Islands,29,NA,17
Vatican City,27,NA,15
Greenland,25,NA,19
Solomon Islands,17,NA,5
Saint Pierre Miquelon,15,NA,14
Montserrat,13,1,12
Anguilla,11,NA,10
Western Sahara,10,1,8
MS Zaandam,9,2,7
Marshall Islands,4,NA,4
Wallis and Futuna,4,NA,1
Samoa,2,NA,2
Vanuatu,1,NA,1
China,86899,4634,81950
Total:,21729855,488012,13262060
Total:,20055811,327057,18393888
Total:,12680366,352899,11214807
Total:,22055160,509805,10667712
Total:,2586143,60977,2166077
Total:,47729,1051,33313
Total:,721,15,706
Total:,79155785,1739816,55738563
