region,cases,deaths,recovered
USA,12588661,262696,7452540
India,9140312,133773,8561444
Brazil,6071401,169197,5432505
France,2140208,48732,149521
Russia,2089329,36179,1595443
Spain,1589219,42619,N/A
UK,1512045,55024,N/A
Italy,1408868,49823,553098
Argentina,1370366,37002,1195492
Colombia,1248417,35287,1150932
Mexico,1041875,101676,779104
Peru,949670,35595,879439
Germany,932111,14343,603800
Poland,861331,13618,423971
Iran,854361,44802,603445
South Africa,767679,20903,710099
Ukraine,624744,10951,286917
Belgium,556904,15522,35810
Chile,540640,15069,516121
Iraq,535321,11958,465452
Indonesia,497668,15884,418188
Czechia,492263,7196,398101
Netherlands,484648,8891,N/A
Bangladesh,447341,6388,362428
Turkey,446822,12358,374637
Philippines,418818,8123,386486
Romania,418645,10047,295148
Pakistan,376929,7696,330885
Saudi Arabia,355258,5780,343371
Canada,330503,11455,264049
Israel,328918,2799,317887
Morocco,324941,5316,270457
Switzerland,290601,4056,180700
Portugal,260758,3897,172919
Austria,247188,2388,169260
Nepal,220308,1321,199024
Sweden,208295,6406,N/A
Ecuador,185643,13201,164009
Jordan,183429,2236,114018
Hungary,174618,3800,42915
UAE,158990,552,148871
Panama,154783,2957,135962
Bolivia,143978,8907,119338
Kuwait,140056,866,132178
Dominican Republic,138410,2310,112552
Qatar,137229,236,134282
Japan,130179,1974,111163
Costa Rica,129418,1608,79372
Armenia,126224,1952,94090
Kazakhstan,126182,1945,112806
Belarus,123999,1096,103848
Oman,122081,1380,113269
Bulgaria,121820,2880,36524
Serbia,121120,1199,31536
Guatemala,118629,4076,107413
Lebanon,116476,900,67667
Egypt,113027,6548,101881
Ethiopia,105785,1647,65691
Georgia,104732,976,85639
Honduras,104435,2857,46208
Croatia,103718,1353,82380
Venezuela,99835,871,94355
Moldova,97941,2149,79556
Slovakia,96241,671,45883
Azerbaijan,93094,1131,63841
Greece,91619,1630,9989
Tunisia,88711,2821,62249
Bahrain,85705,338,83829
Bosnia and Herzegovina,80006,2276,44416
Myanmar,79246,1739,58758
Libya,77823,1089,48914
Kenya,77372,1380,51507
Paraguay,76476,1657,54491
Algeria,74862,2272,48794
Palestine,71644,636,59021
Uzbekistan,71617,603,68827
Denmark,70485,784,55274
Ireland,70461,2023,23364
Kyrgyzstan,69581,1231,60811
Nigeria,66383,1167,62076
Slovenia,65308,1052,44137
Singapore,58160,28,58067
Malaysia,54775,335,41597
North Macedonia,54743,1511,32366
Ghana,50874,323,49405
Lithuania,47047,386,10945
Afghanistan,44706,1687,35934
El Salvador,37562,1075,34297
Norway,32765,306,20956
Albania,32761,699,15842
Montenegro,31062,439,19491
S. Korea,31004,509,26539
Luxembourg,30935,266,20014
Australia,27828,907,25523
Cameroon,23528,435,22177
Finland,21639,375,15300
Ivory Coast,21138,131,20798
Sri Lanka,20171,87,14069
Uganda,17968,172,8611
Zambia,17424,357,16701
Madagascar,17341,251,16657
Sudan,16052,1197,9737
Senegal,15882,330,15488
Mozambique,15037,124,13151
Angola,14493,337,7346
Namibia,13865,145,13225
Latvia,13120,153,1635
French Polynesia,12978,63,4842
Guinea,12826,75,11838
Maldives,12608,46,11599
DRC,12180,327,11300
Tajikistan,11894,86,11271
French Guiana,11014,70,9995
Jamaica,10284,238,5505
Cabo Verde,10276,104,9730
Estonia,9724,88,5699
Botswana,9594,31,7296
Zimbabwe,9220,268,8250
Haiti,9214,232,7854
Gabon,9131,59,8976
Malta,8924,111,6654
Cyprus,8643,44,2055
Guadeloupe,8225,144,2242
Mauritania,8128,169,7591
Cuba,7846,132,7334
Réunion,7501,35,6660
Bahamas,7413,163,5652
Syria,7225,376,3097
Trinidad and Tobago,6450,115,5610
Andorra,6256,76,5358
Eswatini,6219,120,5858
Malawi,6003,185,5441
Nicaragua,5725,159,4225
Djibouti,5668,61,5555
Rwanda,5665,47,5164
Congo,5632,93,3887
Hong Kong,5629,108,5259
Suriname,5296,116,5168
Iceland,5277,26,5046
Guyana,5133,143,4019
Equatorial Guinea,5130,85,4975
Belize,5110,112,2800
Mayotte,5036,48,2964
CAR,4911,63,1924
Martinique,4732,37,98
Aruba,4731,45,4596
Uruguay,4699,71,3679
Somalia,4445,113,3412
Mali,4255,145,3024
Thailand,3913,60,3761
Gambia,3726,123,3582
South Sudan,3047,60,1290
Benin,2916,43,2579
Togo,2843,64,2248
Burkina Faso,2735,68,2532
Guinea-Bissau,2421,43,2286
Sierra Leone,2405,74,1828
Yemen,2099,608,1448
Lesotho,2086,44,1276
New Zealand,2030,25,1953
Curaçao,1749,3,1004
Chad,1642,101,1469
Liberia,1551,82,1331
San Marino,1395,43,1082
Niger,1368,70,1166
Vietnam,1307,35,1142
Liechtenstein,1112,8,883
Channel Islands,1094,48,887
Sint Maarten,1007,25,890
Sao Tome and Principe,979,17,923
Gibraltar,958,4,860
Turks and Caicos,746,6,700
Diamond Princess,712,13,659
Saint Martin,690,12,598
Burundi,662,1,575
Mongolia,629,NA,340
Taiwan,617,7,548
Papua New Guinea,604,7,586
Comoros,596,7,572
Monaco,582,3,512
Eritrea,551,NA,473
Tanzania,509,21,183
Faeroe Islands,500,NA,497
Mauritius,494,10,433
Bhutan,379,NA,360
Isle of Man,368,25,332
Cambodia,306,NA,295
Cayman Islands,261,2,245
Barbados,259,7,241
Bermuda,227,9,200
Saint Lucia,220,2,60
Seychelles,163,NA,159
Caribbean Netherlands,158,3,152
Brunei,148,3,145
Antigua and Barbuda,139,4,128
St. Barth,127,NA,94
St. Vincent Grenadines,84,NA,78
Dominica,72,NA,55
British Virgin Islands,71,1,70
Macao,46,NA,46
Grenada,41,NA,30
Fiji,35,2,33
New Caledonia,32,NA,32
Timor-Leste,30,NA,30
Vatican City,27,NA,15
Laos,25,NA,23
Saint Kitts and Nevis,20,NA,19
Greenland,18,NA,18
Falkland Islands,16,NA,13
Saint Pierre Miquelon,16,NA,12
Solomon Islands,16,NA,5
Montserrat,13,1,12
Western Sahara,10,1,8
MS Zaandam,9,2,NA
Marshall Islands,4,NA,1
Anguilla,3,NA,3
Wallis and Futuna,2,NA,1
Samoa,1,NA,NA
Vanuatu,1,NA,NA
China,86442,4634,81493
Total:,14719927,392162,9062022
Total:,15789277,278230,14171435
Total:,10712584,317186,9629556
Total:,15634782,355172,6115151
Total:,2082709,49802,1753722
Total:,43531,1004,32976
Total:,721,15,659
Total:,58983531,1393571,40765521
